image_id,learned_value,bicubic_value,delta_vs_bicubic,abs_learned
ntl_chip_Ndele_1013,5.333975423127413e-05,0.0004259785928297,0.0003726388385984259,5.333975423127413e-05
ntl_chip_Al_Mukalla_639,1.668540789978579e-06,4.104959953110665e-05,3.938105874112807e-05,1.668540789978579e-06
ntl_chip_Visby_262,6.315887731034309e-05,0.0001008434192044,3.768454189405692e-05,6.315887731034309e-05
ntl_chip_Tianmingsi_1070,-5.489165778271854e-05,7.020872726570815e-05,1.531706948298961e-05,5.489165778271854e-05
ntl_chip_Funadhoo_1926,-1.0803380064317024e-05,2.2602398530580103e-05,1.179901846626308e-05,1.0803380064317024e-05
ntl_chip_Guaraciaba_do_Norte_937,-8.28129705041647e-05,8.896166400518268e-05,6.148693501017988e-06,8.28129705041647e-05
ntl_chip_Simav_359,5.095909727970138e-06,-3.831668436760083e-06,-1.2642412912100554e-06,5.095909727970138e-06
ntl_chip_Mosquera_1168,-0.0001050231803674,0.0001012887223623,-3.7344580050999935e-06,0.0001050231803674
ntl_chip_Paris_425,-7.059671770548448e-05,-5.382294330047444e-05,-1.6773774405010038e-05,7.059671770548448e-05
ntl_chip_Krasnodon_409,-3.720762106240727e-05,-2.0271632820367813e-05,-1.6935988242039457e-05,3.720762106240727e-05
