image_id,learned_value,bicubic_value,delta_vs_bicubic,abs_learned
ntl_chip_Bilenke_394,-0.0043570385314524,-5.769747076556087e-05,-0.004299341060686839,0.0043570385314524
ntl_chip_Cadale_282,-0.0035193422809243,-7.294065289897844e-05,-0.0034464016280253214,0.0035193422809243
ntl_chip_Cantonment_108,-0.0026667164638638,3.024700708920136e-05,-0.002636469456774599,0.0026667164638638
ntl_chip_Higashi-Matsuyama_1778,-0.002534900791943,1.7141304851975292e-05,-0.0025177594870910247,0.002534900791943
ntl_chip_Bedourie_725,-0.0022964621894061,-1.490249633206986e-05,-0.0022815596930740303,0.0022964621894061
ntl_chip_Akpassi_785,-0.0020833958406001,-8.554140367778018e-05,-0.00199785443692232,0.0020833958406001
ntl_chip_Wilrijk_763,-0.0019133073510602,1.4447978173848242e-06,-0.0019118625532428151,0.0019133073510602
ntl_chip_My_Luong_626,-0.0018159272149205,3.762790584005416e-06,-0.0018121644243364946,0.0018159272149205
ntl_chip_Gayeri_765,-0.0018115286948159,-1.7691694665700197e-05,-0.0017938370001502,0.0018115286948159
ntl_chip_Pataskala_518,-0.001810181653127,-7.73568099248223e-05,-0.0017328248432021778,0.001810181653127
