image_id,psnr_rank,ssim_rank,rmse_rank,mae_rank,bias_rank,r2_rank,pearson_rank
ntl_chip_Akpassi_785,198.0,198.0,198.0,198.0,195.0,193.0,193.0
ntl_chip_Al_Mukalla_639,36.0,58.0,36.0,35.0,1.0,52.0,52.0
ntl_chip_Albuquerque_589,112.0,27.0,112.0,84.0,134.0,11.0,11.0
ntl_chip_Alfter_1247,133.0,82.0,133.0,143.0,149.0,57.0,57.0
ntl_chip_Ambatomarina_1864,156.0,178.0,156.0,161.0,15.0,187.0,187.0
ntl_chip_Ambohidanerana_1862,100.0,172.0,100.0,142.0,40.0,178.0,178.0
ntl_chip_Andribavontsona_1854,52.0,155.0,52.0,90.0,33.0,182.0,182.0
ntl_chip_Anosiala_1888,81.0,132.0,81.0,88.0,29.0,58.0,58.0
ntl_chip_Ansfelden_721,87.0,45.0,87.0,72.0,70.0,59.0,59.0
ntl_chip_Aragarcas_885,17.0,60.0,17.0,18.0,106.0,40.0,40.0
ntl_chip_Arambagh_1618,178.0,162.0,178.0,175.0,172.0,151.0,151.0
ntl_chip_Astrakhan_239,48.0,9.0,48.0,30.0,50.0,16.0,16.0
ntl_chip_Awan Patti_100,49.0,108.0,49.0,71.0,174.0,87.0,86.0
ntl_chip_Baixo_Guandu_905,39.0,98.0,39.0,39.0,49.0,110.0,110.0
ntl_chip_Bamukumbit_1039,186.0,183.0,186.0,188.0,47.0,167.0,167.0
ntl_chip_Bareilly_1663,105.0,137.0,105.0,132.0,173.0,92.0,92.0
ntl_chip_Barletta_1738,78.0,11.0,78.0,58.0,44.0,30.0,30.0
ntl_chip_Barstow_530,45.0,8.0,45.0,16.0,31.0,80.0,79.0
ntl_chip_Bedourie_725,182.0,192.0,182.0,186.0,196.0,196.0,196.0
ntl_chip_Belazao_1863,92.0,163.0,92.0,123.0,24.0,149.0,149.0
ntl_chip_Beloozerskiy_192,190.0,151.0,190.0,190.0,187.0,139.0,139.0
ntl_chip_Bidur_1988,168.0,158.0,168.0,170.0,146.0,102.0,102.0
ntl_chip_Bilenke_394,187.0,188.0,187.0,192.0,200.0,189.0,189.0
ntl_chip_Borgampad_1500,121.0,148.0,121.0,136.0,66.0,126.0,126.0
ntl_chip_Brejo_da_Madre_de_Deus_943,35.0,42.0,35.0,33.0,17.0,62.0,63.0
ntl_chip_Bubanza_779,55.0,136.0,55.0,80.0,69.0,95.0,95.0
ntl_chip_Bucak_365,76.0,32.0,76.0,64.0,89.0,100.0,100.0
ntl_chip_Burglengenfeld_1235,123.0,96.0,123.0,110.0,98.0,75.0,75.0
ntl_chip_Buriti_do_Tocantins_815,41.0,110.0,41.0,49.0,30.0,137.0,137.0
ntl_chip_Buug_82,166.0,182.0,166.0,164.0,131.0,184.0,184.0
ntl_chip_Cadale_282,192.0,196.0,192.0,195.0,199.0,192.0,191.0
ntl_chip_Cadiz_1339,85.0,7.0,85.0,61.0,112.0,10.0,10.0
ntl_chip_Canarana_I_872,5.0,35.0,5.0,11.0,102.0,86.0,87.0
ntl_chip_Cantonment_108,58.0,30.0,58.0,76.0,198.0,1.0,1.0
ntl_chip_Carlos_Casares_697,12.0,13.0,12.0,5.0,105.0,104.0,104.0
ntl_chip_Chencha_1340,183.0,187.0,183.0,187.0,137.0,173.0,173.0
ntl_chip_Chengam_1585,174.0,168.0,174.0,174.0,159.0,145.0,145.0
ntl_chip_Cherutana_Tekku_1508,101.0,129.0,101.0,129.0,178.0,43.0,43.0
ntl_chip_Ciudad_del_Plata_608,98.0,49.0,98.0,75.0,116.0,3.0,3.0
ntl_chip_Cloppenburg_1251,129.0,97.0,129.0,100.0,54.0,128.0,128.0
ntl_chip_Covington_418,60.0,33.0,60.0,50.0,88.0,69.0,69.0
ntl_chip_Cuapiaxtla_de_Madero_1935,173.0,116.0,173.0,169.0,157.0,107.0,107.0
ntl_chip_Cunupia_380,137.0,72.0,137.0,139.0,155.0,12.0,12.0
ntl_chip_Currumbin_726,79.0,14.0,79.0,56.0,60.0,26.0,26.0
ntl_chip_Cuttack_1651,122.0,126.0,122.0,138.0,145.0,55.0,55.0
ntl_chip_Dabou_1027,142.0,143.0,142.0,130.0,57.0,115.0,115.0
ntl_chip_Dadukou_1109,196.0,185.0,196.0,194.0,136.0,166.0,166.0
ntl_chip_Datori_784,195.0,195.0,195.0,197.0,143.0,186.0,186.0
ntl_chip_Denan_1346,143.0,181.0,143.0,160.0,186.0,197.0,197.0
ntl_chip_Dhariwal_1577,57.0,104.0,57.0,83.0,190.0,98.0,98.0
ntl_chip_Dire_1898,175.0,191.0,175.0,182.0,26.0,180.0,180.0
ntl_chip_Divinopolis_963,145.0,81.0,145.0,99.0,82.0,60.0,60.0
ntl_chip_Dom_Pedrito_942,9.0,70.0,9.0,17.0,83.0,85.0,85.0
ntl_chip_Douar_Ras_el_Ksar_1834,3.0,6.0,3.0,4.0,94.0,24.0,24.0
ntl_chip_El Crucero_8,132.0,115.0,132.0,112.0,111.0,51.0,51.0
ntl_chip_El_Seibo_1266,65.0,100.0,65.0,65.0,67.0,101.0,101.0
ntl_chip_Engandiyur_1606,89.0,133.0,89.0,115.0,161.0,54.0,54.0
ntl_chip_Eqbaliyeh_1697,141.0,61.0,141.0,131.0,151.0,48.0,47.0
ntl_chip_Erzurum_377,61.0,23.0,61.0,38.0,9.0,39.0,39.0
ntl_chip_Eydhafushi_1927,56.0,121.0,56.0,59.0,13.0,168.0,168.0
ntl_chip_Fontaine-lEveque_762,153.0,105.0,153.0,145.0,127.0,84.0,84.0
ntl_chip_Forest_Hills_529,93.0,59.0,93.0,98.0,153.0,15.0,15.0
ntl_chip_Fotadrevo_1891,34.0,140.0,34.0,63.0,25.0,191.0,192.0
ntl_chip_Funadhoo_1926,40.0,112.0,40.0,41.0,3.0,160.0,161.0
ntl_chip_Gaoping_1131,47.0,19.0,47.0,40.0,115.0,7.0,7.0
ntl_chip_Gayeri_765,199.0,200.0,199.0,199.0,192.0,183.0,183.0
ntl_chip_Gisborne_34,18.0,87.0,18.0,24.0,71.0,105.0,105.0
ntl_chip_Gosen_1773,68.0,41.0,68.0,68.0,104.0,36.0,36.0
ntl_chip_Granadero_Baigorria_705,134.0,16.0,134.0,96.0,164.0,5.0,5.0
ntl_chip_Greenville_584,83.0,84.0,83.0,93.0,138.0,49.0,50.0
ntl_chip_Guaraciaba_do_Norte_937,99.0,86.0,99.0,79.0,14.0,125.0,125.0
ntl_chip_Guarei_879,114.0,91.0,114.0,85.0,53.0,97.0,97.0
ntl_chip_Gueoul_280,146.0,175.0,146.0,157.0,16.0,143.0,143.0
ntl_chip_Gurh_1574,94.0,134.0,94.0,124.0,163.0,103.0,103.0
ntl_chip_Gurupi_948,28.0,18.0,28.0,15.0,97.0,68.0,68.0
ntl_chip_Gyegu_1068,8.0,34.0,8.0,6.0,80.0,131.0,130.0
ntl_chip_Ha_Tinh_631,160.0,150.0,160.0,154.0,107.0,140.0,140.0
ntl_chip_Harij_1608,19.0,40.0,19.0,23.0,62.0,65.0,65.0
ntl_chip_Hayden_501,43.0,12.0,43.0,32.0,48.0,14.0,14.0
ntl_chip_Heerhugowaard_20,163.0,127.0,163.0,159.0,166.0,77.0,77.0
ntl_chip_Higashi-Matsuyama_1778,138.0,78.0,138.0,149.0,197.0,35.0,34.0
ntl_chip_Huajiang_1097,106.0,147.0,106.0,126.0,117.0,141.0,141.0
ntl_chip_Huishi_1104,15.0,68.0,15.0,19.0,72.0,113.0,112.0
ntl_chip_Huozhou_1113,71.0,77.0,71.0,66.0,77.0,88.0,88.0
ntl_chip_Hyeres_1392,84.0,10.0,84.0,60.0,92.0,29.0,29.0
ntl_chip_Hyosha_1010,88.0,165.0,88.0,121.0,68.0,171.0,172.0
ntl_chip_Ilaka_Atsinanana_1876,179.0,189.0,179.0,180.0,95.0,194.0,194.0
ntl_chip_Imzouren_1845,51.0,31.0,51.0,44.0,38.0,38.0,37.0
ntl_chip_Inongo_1007,165.0,190.0,165.0,171.0,58.0,198.0,198.0
ntl_chip_Irshava_391,64.0,94.0,64.0,77.0,78.0,109.0,109.0
ntl_chip_Isangel_635,7.0,56.0,7.0,12.0,87.0,156.0,156.0
ntl_chip_Itaperucu_907,124.0,114.0,124.0,127.0,162.0,2.0,2.0
ntl_chip_Jabonga_65,136.0,166.0,136.0,135.0,184.0,159.0,159.0
ntl_chip_Jafarabad_1593,62.0,122.0,62.0,70.0,61.0,122.0,122.0
ntl_chip_Jieshou_1128,69.0,44.0,69.0,73.0,165.0,33.0,33.0
ntl_chip_Johnston_542,107.0,43.0,107.0,104.0,167.0,6.0,6.0
ntl_chip_Kadiana_1901,176.0,186.0,176.0,181.0,37.0,169.0,169.0
ntl_chip_Kaedi_1923,59.0,152.0,59.0,92.0,27.0,163.0,163.0
